time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	L5_S1_Flex_Ext	L5_S1_Lat_Bending	L5_S1_axial_rotation	neck_flexion	neck_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
0.48333333	-2.45132836	1.87956192	1.60589169	-1.19693145	-0.16116348	0.97974171	0.31272409	-0.98559846	-1.22173048	1.43823420	-1.04719755	0.25836450	0.52359878	-0.09219649	-0.31160617	-0.69723931	0.65764442	0.20988283	-0.30770234	0.49823100	-0.05203314	-0.64326498	0.64801713	0.01097675	0.23645242	0.14973679	-0.21123062	-0.77751406	-0.86619382	1.77436290	0.00000000	0.00000000	0.00000000	-0.10133222	-0.92369004	0.10570964	0.64209471	0.72128724	0.00000000	0.00000000
0.50000000	-2.66046172	1.85154553	1.81510667	-1.18979699	-0.16084884	0.98014205	0.39026851	-0.92838650	-1.22173048	1.37365674	-1.04719755	0.30382076	0.52359878	-0.02499911	-0.35061856	-0.63261471	0.73415877	0.36641549	-0.24955842	0.47982735	-0.03196856	-0.61118784	0.62844778	0.18510533	0.32994411	0.25550183	-0.27236232	-0.77898805	-0.92634655	1.78550560	0.00000000	0.00000000	0.00000000	-0.10788591	-0.94244616	0.16024776	0.63671484	0.66828669	0.00000000	0.00000000
0.51666667	-2.67841167	1.87219560	1.83921137	-1.17853461	-0.16792121	0.98140373	0.39715743	-0.92881231	-1.22173048	1.36437102	-1.01806088	0.34906585	0.52359878	-0.02960142	-0.36116792	-0.60502407	0.83408556	0.42685873	-0.23728450	0.46931564	-0.01743507	-0.60812982	0.64889300	0.12713762	0.32424207	0.22996802	-0.30830006	-0.76659564	-0.96185591	1.78037588	0.00000000	0.00000000	0.00000000	-0.10927005	-0.98010231	0.19056042	0.65141555	0.64350819	0.00000000	0.00000000
0.53333333	-2.56198500	2.08123127	2.15827418	-1.15012830	-0.10501078	0.99685424	0.15895761	-0.56475257	-0.90476931	0.99987916	-0.17575735	0.34906585	0.50542537	-0.01315994	-0.32450067	-0.03200748	0.89952399	0.42653630	-0.34906585	0.52359878	-0.48628392	-0.42768936	0.20598807	-0.04907424	0.24079121	0.09814008	-0.30519801	-0.81845130	-1.00741169	1.72977797	0.00175979	0.00000000	0.00000000	0.06777821	-0.85217313	0.24219024	0.54981050	0.60996168	0.00000000	0.00000000
0.55000000	-4.31550557	1.93545665	3.48211303	-1.07972357	-0.16225720	0.97525707	0.74822526	-0.58934046	-1.22173048	1.08512797	-0.96829979	0.34906585	0.52359878	0.39226051	-0.47338112	-0.40242564	0.82693279	0.52960894	-0.31421006	0.36197642	1.18706356	0.26009229	0.38840337	0.50000000	0.56701377	-0.60072856	0.57594522	-0.82913975	0.78046408	0.80201037	0.05293483	0.00000000	0.00000000	-0.31648643	-0.70892865	-0.46404836	0.00000000	0.89550945	0.00000000	0.00000000
0.56666667	-4.40348920	2.38265995	4.03624919	-1.04123511	-0.13167684	0.93313980	0.99982158	-0.29114019	-0.84377734	0.63852304	0.12504949	0.34906585	0.50166138	1.07828755	-0.38878417	0.29827724	0.90006422	0.46431082	-0.34906585	0.52359878	1.31720698	-0.18100279	-0.04920195	0.50000000	0.70831034	-0.74689824	0.03590064	-1.07460381	0.02306979	1.34033468	0.03568525	0.00000000	0.00000000	-0.65373071	-0.81978029	0.26245144	0.43626400	1.07095033	0.00000000	0.00000000
0.58333333	-7.74515884	1.45724238	7.06922360	-1.09229695	-0.18286369	0.95591217	0.78571216	-0.94638353	-1.22173048	1.17968058	-1.02523704	0.34906585	0.52359878	0.36062213	-0.24696735	-0.38127917	0.87229039	0.48980653	-0.22709787	0.52359878	0.68182119	-0.55349477	0.57170405	0.50000000	0.84674118	-0.55749133	-0.09940431	-0.79905648	-0.53917076	1.54648360	0.02589528	0.00000000	0.00000000	-0.67028399	-1.08445720	-0.14744893	0.70432534	1.51888063	0.00000000	0.00000000
0.60000000	-8.94229855	2.06796565	8.62283442	-1.11162042	-0.11666046	0.98835753	0.19376077	-0.53344612	-0.98316922	0.81560583	-0.30133271	0.34906585	0.52359878	0.06219550	-0.40446210	-0.00323814	0.94422272	0.44279216	-0.27596291	0.50092489	-0.35943507	-0.43125277	0.18208774	0.08533078	0.38792455	-0.22982080	-0.29990665	-0.84502096	-1.04862550	1.63298793	0.00716556	0.00000000	0.00000000	-0.03515219	-0.92378535	-0.00795997	0.63921014	1.90305982	0.00000000	0.00000000
0.61666667	-9.07254114	2.02914923	8.87532021	-1.08254369	-0.10777822	0.98772721	0.23713145	-0.34806959	-0.48591631	0.55654459	0.01443384	0.34906585	0.52359878	0.22295088	-0.39995873	0.12325204	0.98675538	0.36131614	-0.29416134	0.52359878	-0.35395943	-0.39280172	0.08972825	-0.41354213	0.11109675	-0.03130762	-0.44988858	-0.77478021	-1.22016741	1.71238482	0.00093088	0.00000000	0.00000000	-0.07002340	-0.90959950	-0.10977848	0.67392809	2.07825447	0.00000000	0.00000000
0.63333333	-9.05730484	1.89186805	8.39269937	-1.10288632	-0.15928235	0.99007214	0.48392114	-0.78551459	-1.22173048	1.00046148	-1.03473751	0.34906585	0.52359878	0.00599262	-0.38747761	-0.47277171	0.87933606	0.40860691	-0.13090877	0.48931584	-0.01750288	-0.63242463	0.60119826	-0.41951957	0.10516442	-0.04411790	-0.46533817	-0.75996236	-1.27725229	1.73248603	0.00423343	0.00000000	0.00000000	-0.07588286	-0.99563377	-0.11274776	0.71265791	2.06372917	0.00000000	0.00000000
